customer_id,customer_name,city,customer_type
102,"Bakti Utami, S.Gz",Medan,Individual
103,Winda Farida,Bekasi,Business
104,Labuh Utama,Pekanbaru,Individual
105,"Diah Iswahyudi, S.Pd",Padang,Business
106,Ulva Agustina,Bekasi,Business
107,Daliono Mustofa,Bogor,Business
108,"Dr. Taufik Utama, M.TI.",Bengkulu,Business
109,T. Radika Marbun,Pekanbaru,Individual
110,Yunita Laksmiwati,Bandung,Individual
111,"T. Pangeran Sirait, S.IP",Tangerang,Individual
112,Citra Megantara,Surabaya,Business
113,"Sutan Satya Wastuti, S.Sos",Yogyakarta,Individual
114,"Drs. Karimah Iswahyudi, S.Sos",Lampung,Individual
115,Eman Nasyiah,Tangerang,Business
116,Jaeman Uwais,Cirebon,Individual
117,"Pangestu Wulandari, S.T.",Depok,Individual
118,drg. Yuni Uyainah,Sidoarjo,Individual
119,Cici Wulandari,Surabaya,Business
120,Jarwi Dongoran,Malang,Individual
121,Drs. Jane Suryatmi,Lampung,Individual
122,Marsudi Haryanto,Semarang,Individual
123,"Ridwan Hariyah, S.Pd",Bandung,Individual
124,"Hasan Latupono, S.E.I",Surabaya,Individual
125,Warsita Firgantoro,Tangerang,Individual
126,Nilam Latupono,Bandung,Business
127,Daryani Nasyiah,Tangerang,Individual
128,Harsanto Hasanah,Yogyakarta,Business
129,Salsabila Namaga,Bandung,Individual
130,Rini Mangunsong,Lampung,Individual
131,Safina Januar,Yogyakarta,Individual
132,"Dr. Raisa Wasita, S.T.",Sidoarjo,Individual
133,Muhammad Uwais,Solo,Individual
134,Ibun Handayani,Yogyakarta,Business
135,Sabar Tarihoran,Sidoarjo,Individual
136,Mahfud Uwais,Batam,Business
137,Ir. Gatot Halim,Bogor,Individual
138,Ika Nainggolan,Padang,Individual
139,Warta Hasanah,Malang,Individual
140,Mujur Prabowo,Solo,Individual
141,"Manah Riyanti, S.Ked",Jakarta,Individual
142,Panji Sitorus,Solo,Business
143,Budi Pratiwi,Medan,Individual
144,Bagiya Puspasari,Bengkulu,Individual
145,Langgeng Pratama,Malang,Individual
146,"R.A. Julia Maulana, M.Ak",Yogyakarta,Business
147,Enteng Maulana,Batam,Business
148,Kayun Ramadan,Depok,Individual
149,"R.M. Balapati Wijayanti, S.Ked",Medan,Individual
150,Aditya Tamba,Bekasi,Individual
151,"KH. Dasa Rahmawati, S.Psi",Semarang,Individual
152,Cayadi Saptono,Padang,Individual
153,Budi Andriani,Bekasi,Individual
154,R. Panca Haryanto,Padang,Individual
155,Melinda Tarihoran,Cirebon,Individual
156,Drs. Balangga Hartati,Bogor,Individual
157,Sutan Warsita Susanti,Padang,Business
158,Ozy Wahyuni,Malang,Individual
159,T. Jagapati Yuniar,Bekasi,Individual
160,Aswani Kuswandari,Bandung,Individual
161,"drg. Maria Kurniawan, M.Kom.",Lampung,Business
162,"Maimunah Hidayanto, S.Pt",Semarang,Individual
163,Rachel Maulana,Semarang,Individual
164,Budi Saefullah,Cirebon,Business
165,Hj. Restu Pudjiastuti,Cirebon,Individual
166,"Jane Wibowo, M.Ak",Jakarta,Individual
167,T. Jaeman Mayasari,Sidoarjo,Business
168,drg. Cinthia Latupono,Lampung,Business
169,"Hj. Sadina Puspasari, S.Kom",Semarang,Individual
170,Mila Pradana,Jambi,Business
171,Jessica Hasanah,Bekasi,Individual
172,Lidya Kuswoyo,Jakarta,Individual
173,Maria Sihotang,Lampung,Business
174,"Dodo Wahyudin, S.E.I",Medan,Individual
175,"Virman Kusmawati, S.Pt",Bandung,Individual
176,Radika Hutasoit,Semarang,Individual
177,Ian Kuswoyo,Padang,Business
178,"Ulya Wahyudin, S.E.I",Lampung,Business
179,Dt. Langgeng Purwanti,Medan,Individual
180,Tgk. Mumpuni Maheswara,Bandung,Business
181,Kamila Widiastuti,Jambi,Individual
182,"dr. Taswir Habibi, S.Pd",Surabaya,Business
183,Tgk. Kamila Jailani,Palembang,Individual
184,Drs. Gabriella Mangunsong,Bengkulu,Business
185,"Jaya Prasetyo, S.IP",Yogyakarta,Individual
186,Zulfa Puspita,Malang,Business
187,Calista Setiawan,Yogyakarta,Business
188,R.A. Yani Aryani,Jakarta,Individual
189,"Drs. Vivi Oktaviani, M.Ak",Malang,Individual
190,"Margana Puspita, S.Ked",Surabaya,Individual
191,Hj. Yance Santoso,Palembang,Individual
192,Cemeti Saputra,Palembang,Individual
193,"Vanesa Saragih, S.Psi",Bogor,Individual
194,Agnes Najmudin,Cirebon,Individual
195,"R. Padmi Wahyuni, S.Sos",Bogor,Business
196,Caket Usada,Pekanbaru,Individual
197,Bakijan Nuraini,Bekasi,Individual
198,Harimurti Andriani,Palembang,Individual
199,Jasmin Manullang,Surabaya,Individual
200,Ira Simbolon,Lampung,Individual
201,"Drs. Lembah Hutasoit, S.Gz",Pekanbaru,Individual
202,Candrakanta Safitri,Palembang,Individual
203,Mursita Hutapea,Tangerang,Individual
204,Maimunah Wijayanti,Bengkulu,Individual
205,Nova Sudiati,Bogor,Individual
206,Lidya Saputra,Padang,Individual
207,Perkasa Mulyani,Bengkulu,Individual
208,Gangsar Astuti,Sidoarjo,Individual
209,Edi Wastuti,Malang,Individual
210,"Lega Laksita, M.TI.",Padang,Business
211,"Gaiman Gunawan, S.H.",Malang,Business
212,Rahayu Hakim,Medan,Individual
213,Damu Sihombing,Tangerang,Individual
214,Pranata Mandala,Pekanbaru,Individual
215,"T. Elvin Simbolon, S.IP",Solo,Individual
216,Jamal Astuti,Jambi,Individual
217,Cager Wibowo,Bogor,Individual
218,H. Dartono Mardhiyah,Jakarta,Individual
219,Ir. Reksa Thamrin,Jakarta,Business
220,Hasta Gunarto,Jakarta,Business
221,Anita Haryanti,Bekasi,Individual
222,Setya Sihotang,Bekasi,Individual
223,drg. Queen Waskita,Sidoarjo,Business
224,"Suci Agustina, S.Pd",Depok,Individual
225,Halim Damanik,Cirebon,Business
226,Ella Safitri,Surabaya,Business
227,Yance Tarihoran,Tangerang,Business
228,Ibrani Kurniawan,Bekasi,Individual
229,Ibrani Rahmawati,Tangerang,Business
230,Paramita Hutapea,Bogor,Business
231,Ira Sirait,Jambi,Individual
232,Ganda Narpati,Bekasi,Individual
233,Kajen Usada,Solo,Individual
234,Karta Melani,Surabaya,Individual
235,Utama Tampubolon,Depok,Individual
236,Titi Yuliarti,Sidoarjo,Individual
237,"R. Gilda Jailani, S.E.I",Palembang,Individual
238,Faizah Natsir,Padang,Individual
239,R. Vanya Yolanda,Batam,Business
240,Cecep Utami,Semarang,Business
241,Malika Pratiwi,Bengkulu,Individual
242,"Drs. Ikin Zulaika, M.Farm",Batam,Individual
243,"Makara Oktaviani, S.Psi",Malang,Business
244,"Hj. Iriana Maryadi, M.M.",Yogyakarta,Business
245,Jarwadi Handayani,Tangerang,Individual
246,"Gadang Saefullah, M.Farm",Depok,Individual
247,Garan Mayasari,Lampung,Individual
248,Galak Hariyah,Palembang,Individual
249,Ani Hakim,Bengkulu,Business
250,Yance Suwarno,Jambi,Individual
251,Mariadi Iswahyudi,Palembang,Business
252,Ir. Ophelia Winarno,Sidoarjo,Business
253,Ratna Puspasari,Tangerang,Individual
254,"H. Umar Gunarto, M.M.",Bengkulu,Individual
255,"Drs. Martana Nainggolan, S.Psi",Semarang,Business
256,Dr. Olivia Maryadi,Bandung,Business
257,Ihsan Jailani,Bekasi,Individual
258,"Tgk. Nasab Hutasoit, M.TI.",Batam,Individual
259,"Cawuk Gunarto, S.H.",Palembang,Individual
260,"Maida Farida, M.TI.",Sidoarjo,Individual
261,Drs. Capa Utama,Lampung,Individual
262,Intan Wibisono,Bogor,Individual
263,Vicky Sirait,Depok,Individual
264,"Liman Habibi, S.Psi",Pekanbaru,Individual
265,Gambira Kuswoyo,Yogyakarta,Business
266,Ir. Harsana Suryono,Padang,Individual
267,Tari Wahyuni,Lampung,Individual
268,R. Juli Hutapea,Bekasi,Individual
269,Hj. Dinda Tampubolon,Bandung,Individual
270,Safina Wijayanti,Cirebon,Individual
271,Diah Riyanti,Bandung,Business
272,"Chelsea Saragih, M.Pd",Yogyakarta,Individual
273,Syahrini Sitompul,Bogor,Individual
274,"R. Salsabila Novitasari, S.Pt",Semarang,Business
275,"Mumpuni Anggraini, M.TI.",Lampung,Individual
276,Anita Tarihoran,Depok,Individual
277,Elvina Prabowo,Pekanbaru,Individual
278,Vivi Laksita,Depok,Individual
279,Darmanto Mandala,Tangerang,Individual
280,Bahuwarna Sihombing,Jambi,Individual
281,"Puti Ophelia Namaga, M.TI.",Palembang,Business
282,Mitra Sirait,Jambi,Individual
283,"Drs. Cahyadi Riyanti, S.Sos",Medan,Business
284,Carub Najmudin,Yogyakarta,Individual
285,"Ir. Yessi Marbun, M.M.",Cirebon,Business
286,Hendra Utama,Palembang,Individual
287,"Najib Prakasa, M.M.",Lampung,Business
288,Tgk. Umi Hassanah,Palembang,Individual
289,Kasusra Permadi,Jambi,Individual
290,Yessi Halimah,Bandung,Individual
291,"R.A. Kartika Wastuti, M.Farm",Yogyakarta,Business
292,Malika Suryono,Jakarta,Individual
293,"dr. Jefri Nuraini, S.Farm",Malang,Individual
294,Rendy Pangestu,Yogyakarta,Individual
295,"Drs. Cahyo Ramadan, S.Gz",Batam,Individual
296,"Jaya Wahyudin, M.Pd",Depok,Individual
297,Narji Maryati,Sidoarjo,Business
298,"Puti Intan Hutasoit, S.E.",Medan,Individual
299,Mila Mulyani,Sidoarjo,Business
300,Radika Fujiati,Bekasi,Individual
301,Warsita Prasetya,Lampung,Individual
302,"Dr. Kamaria Dongoran, S.Farm",Palembang,Individual
303,Harto Mardhiyah,Padang,Individual
304,Gilda Winarno,Sidoarjo,Individual
305,Hardi Prasetyo,Bogor,Business
306,Galuh Januar,Jakarta,Business
307,"Hj. Juli Maulana, S.E.I",Malang,Business
308,Edison Halimah,Lampung,Individual
309,"Yance Mandala, M.Kom.",Medan,Individual
310,Raisa Ardianto,Sidoarjo,Individual
311,Ajiman Rajasa,Bogor,Business
312,Rafid Maryadi,Cirebon,Individual
313,H. Lulut Nuraini,Bogor,Business
314,Carla Suwarno,Semarang,Individual
315,Gada Maheswara,Batam,Business
316,Digdaya Andriani,Pekanbaru,Individual
317,"Putu Oktaviani, M.M.",Yogyakarta,Individual
318,Balapati Mandasari,Bandung,Business
319,Drs. Anita Usamah,Malang,Individual
320,Drs. Dimas Megantara,Jakarta,Individual
321,Maria Adriansyah,Solo,Business
322,dr. Halima Pertiwi,Bengkulu,Individual
323,Fitria Widiastuti,Tangerang,Individual
324,"Bakiadi Novitasari, S.I.Kom",Bandung,Individual
325,Xanana Novitasari,Pekanbaru,Business
326,Dr. Panji Mayasari,Batam,Business
327,Dt. Harsaya Halimah,Sidoarjo,Business
328,Makara Wibisono,Batam,Business
329,Hafshah Budiyanto,Jakarta,Individual
330,Winda Hidayat,Bekasi,Individual
331,Halima Wahyuni,Lampung,Individual
332,"Bala Prastuti, S.Psi",Bekasi,Individual
333,Artawan Thamrin,Batam,Individual
334,Tgk. Rahmat Yuniar,Jakarta,Individual
335,Radika Hariyah,Cirebon,Individual
336,"Natalia Usamah, S.E.",Malang,Individual
337,"R.M. Atma Haryanti, S.Gz",Surabaya,Individual
338,Farah Gunawan,Pekanbaru,Individual
339,"Sutan Timbul Gunarto, S.Psi",Pekanbaru,Individual
340,Oliva Widodo,Bengkulu,Business
341,"Drs. Nabila Ramadan, S.Gz",Solo,Business
342,"Ir. Dadap Suwarno, S.I.Kom",Bengkulu,Business
343,"Cut Zelaya Yolanda, S.Psi",Palembang,Individual
344,Dewi Uwais,Solo,Individual
345,Lalita Farida,Palembang,Individual
346,Jessica Nashiruddin,Medan,Business
347,Talia Mandasari,Malang,Business
348,Wirda Maryati,Palembang,Business
349,Wani Hutasoit,Padang,Business
350,"Lintang Hutapea, S.Farm",Medan,Individual
351,R. Puji Sihombing,Lampung,Individual
352,Ciaobella Hutapea,Lampung,Individual
353,Salimah Sihombing,Medan,Individual
354,Melinda Suartini,Semarang,Business
355,"Maria Marbun, M.M.",Batam,Individual
356,Melinda Gunarto,Semarang,Individual
357,"Kamila Susanti, S.Farm",Jambi,Individual
358,Suci Hakim,Lampung,Individual
359,Mumpuni Uyainah,Bogor,Individual
360,Karimah Mulyani,Semarang,Business
361,"H. Mustika Manullang, S.Ked",Bandung,Individual
362,Samsul Sudiati,Semarang,Business
363,"Purwa Farida, S.Gz",Medan,Individual
364,Bagas Prakasa,Palembang,Individual
365,"Ir. Ghani Tarihoran, S.Sos",Padang,Individual
366,Cut Rahmi Mangunsong,Cirebon,Individual
367,"Ihsan Uwais, S.I.Kom",Depok,Business
368,Vanesa Hutagalung,Jambi,Individual
369,R. Paris Utama,Bekasi,Business
370,Iriana Yulianti,Palembang,Individual
371,Hilda Latupono,Depok,Individual
372,Oman Nashiruddin,Padang,Individual
373,Padma Wibisono,Bengkulu,Business
374,R. Eluh Rajata,Tangerang,Business
375,"Melinda Prabowo, M.Ak",Lampung,Individual
376,Talia Lestari,Depok,Business
377,Banawi Mansur,Solo,Individual
378,"Puti Mila Natsir, M.M.",Yogyakarta,Individual
379,Rusman Zulaika,Batam,Business
380,"dr. Salwa Situmorang, S.Pt",Bekasi,Individual
381,Dr. Elvin Salahudin,Sidoarjo,Business
382,"R. Tania Uyainah, S.E.",Depok,Individual
383,"Tgk. Kacung Prasetyo, S.IP",Sidoarjo,Individual
384,Prima Mandala,Cirebon,Business
385,Paiman Lailasari,Bandung,Individual
386,Gatra Puspasari,Bengkulu,Individual
387,dr. Nadia Puspasari,Solo,Individual
388,Luwar Irawan,Surabaya,Individual
389,Galak Widodo,Medan,Individual
390,"Tantri Kuswandari, M.TI.",Pekanbaru,Individual
391,Vivi Wasita,Bandung,Individual
392,"Ir. Belinda Mahendra, S.Psi",Bekasi,Individual
393,"Bagya Hartati, M.M.",Surabaya,Individual
394,"Kariman Situmorang, S.E.I",Bekasi,Business
395,"Drs. Suci Rahmawati, S.E.",Medan,Business
396,"R.M. Ian Mardhiyah, S.Gz",Pekanbaru,Individual
397,"Puti Padma Mangunsong, S.Pd",Malang,Individual
398,Caraka Sinaga,Bekasi,Business
399,"Genta Situmorang, M.TI.",Semarang,Individual
400,Zulfa Hutapea,Jakarta,Individual
401,Faizah Usada,Tangerang,Individual
402,T. Budi Utami,Malang,Individual
403,Raisa Nasyidah,Semarang,Individual
404,Jefri Yuniar,Bandung,Individual
405,Lega Prastuti,Palembang,Individual
406,Cawisono Wahyuni,Bengkulu,Individual
407,Ir. Jessica Pratiwi,Bogor,Individual
408,Rudi Dabukke,Palembang,Individual
409,Arsipatra Yuniar,Surabaya,Individual
410,"Drs. Eman Yulianti, S.Kom",Bandung,Business
411,"Drs. Hamzah Safitri, S.Ked",Bandung,Individual
412,Sari Palastri,Surabaya,Business
413,Syahrini Sihombing,Jambi,Individual
414,Hesti Waskita,Palembang,Individual
415,Mutia Hidayanto,Yogyakarta,Individual
416,"Almira Manullang, M.M.",Lampung,Individual
417,Novi Hariyah,Solo,Individual
418,Ganep Sudiati,Solo,Individual
419,Galar Simanjuntak,Solo,Individual
420,"Zelda Situmorang, S.Sos",Jambi,Individual
421,Prabawa Uwais,Padang,Individual
422,Dr. Balamantri Simanjuntak,Batam,Individual
423,Jaka Maheswara,Yogyakarta,Business
424,Mila Prayoga,Palembang,Individual
425,Bakti Hardiansyah,Bengkulu,Individual
426,Kiandra Susanti,Sidoarjo,Business
427,Hilda Manullang,Jakarta,Individual
428,"dr. Ratih Sihotang, S.Kom",Palembang,Business
429,"R.M. Jamil Mulyani, M.M.",Bandung,Individual
430,Ina Mandasari,Semarang,Individual
431,Bakijan Wijaya,Sidoarjo,Individual
432,drg. Dimas Pratama,Tangerang,Individual
433,dr. Alika Hardiansyah,Tangerang,Individual
434,Nilam Riyanti,Surabaya,Individual
435,"Hj. Samiah Halimah, S.Pd",Semarang,Business
436,Dt. Slamet Kurniawan,Malang,Business
437,Diana Saptono,Medan,Individual
438,"Karimah Waskita, S.I.Kom",Yogyakarta,Individual
439,Himawan Habibi,Palembang,Business
440,Drs. Febi Tarihoran,Depok,Individual
441,T. Bagya Winarno,Padang,Individual
442,drg. Prakosa Pudjiastuti,Depok,Business
443,Yunita Oktaviani,Malang,Individual
444,"Lurhur Lazuardi, S.E.I",Bekasi,Individual
445,Hartana Wahyudin,Tangerang,Individual
446,"Tgk. Kalim Utama, S.E.I",Surabaya,Individual
447,Luhung Melani,Bandung,Individual
448,Olivia Gunarto,Pekanbaru,Business
449,Aris Mandala,Depok,Business
450,"Juli Kusmawati, M.TI.",Jakarta,Business
451,Eka Sudiati,Pekanbaru,Individual
452,R.M. Gamanto Suryatmi,Solo,Business
453,Elisa Wijaya,Jambi,Individual
454,Tgk. Rika Sirait,Tangerang,Business
455,Dr. Kasiran Lestari,Padang,Individual
456,"Padmi Salahudin, M.Kom.",Bogor,Individual
457,"Cut Kartika Sitompul, S.IP",Semarang,Individual
458,Restu Samosir,Semarang,Individual
459,"H. Teddy Usamah, S.Ked",Palembang,Business
460,Dr. Hani Yolanda,Padang,Business
461,"KH. Labuh Permata, S.H.",Jambi,Individual
462,"Anastasia Padmasari, M.Kom.",Malang,Individual
463,Karna Usamah,Medan,Individual
464,"Raina Wibowo, S.E.I",Batam,Individual
465,"Hj. Hesti Firmansyah, M.Farm",Yogyakarta,Business
466,"Carla Nainggolan, S.Ked",Depok,Individual
467,Iriana Andriani,Medan,Business
468,Hendri Putra,Lampung,Business
469,Olivia Suryatmi,Batam,Individual
470,Zizi Halim,Bengkulu,Individual
471,"Dina Maryati, S.Kom",Pekanbaru,Individual
472,Tgk. Mujur Kuswandari,Solo,Individual
473,dr. Galar Natsir,Jakarta,Individual
474,Patricia Siregar,Bekasi,Individual
475,Tgk. Murti Zulaika,Yogyakarta,Individual
476,"Rangga Saptono, M.Ak",Jambi,Individual
477,Febi Prayoga,Semarang,Individual
478,Puti Salahudin,Bekasi,Business
479,Wardaya Salahudin,Yogyakarta,Business
480,"T. Niyaga Pranowo, M.Kom.",Surabaya,Individual
481,Natalia Tampubolon,Pekanbaru,Individual
482,KH. Najam Saefullah,Yogyakarta,Individual
483,Dewi Pertiwi,Bandung,Individual
484,"Kenari Wibowo, S.Sos",Bengkulu,Individual
485,"dr. Vera Maulana, S.Pd",Lampung,Individual
486,Edward Hutapea,Bekasi,Individual
487,Maimunah Yolanda,Padang,Individual
488,Ulva Kuswandari,Sidoarjo,Individual
489,Damar Nasyiah,Bengkulu,Business
490,Putri Saputra,Padang,Individual
491,Balangga Susanti,Cirebon,Individual
492,"Rini Permadi, S.H.",Medan,Individual
493,Mulyono Nuraini,Jambi,Individual
494,Makuta Pradipta,Bengkulu,Individual
495,Baktianto Zulkarnain,Semarang,Business
496,Tina Halimah,Solo,Business
497,Maman Mandala,Bogor,Business
498,Yoga Pudjiastuti,Jambi,Business
499,Hasim Yolanda,Depok,Business
500,Natalia Yulianti,Padang,Individual
501,Praba Suwarno,Cirebon,Individual
502,Irma Yuliarti,Tangerang,Individual
503,Umaya Irawan,Solo,Individual
504,"Kemal Pradipta, M.Pd",Depok,Business
505,"Tari Firgantoro, S.E.",Bogor,Individual
506,Zalindra Nugroho,Medan,Individual
507,Raihan Widodo,Bogor,Business
508,"drg. Cengkir Siregar, S.Gz",Bogor,Individual
509,Emin Purnawati,Cirebon,Individual
510,Puti Juli Suryono,Padang,Individual
511,Syahrini Palastri,Palembang,Individual
512,drg. Tirtayasa Mansur,Yogyakarta,Individual
513,"Drs. Nadia Saputra, S.Kom",Bogor,Individual
514,"R. Gamblang Marpaung, M.M.",Medan,Individual
515,"Edi Nashiruddin, S.Ked",Batam,Individual
516,"Jessica Sihombing, M.Farm",Cirebon,Business
517,"Praba Nababan, S.E.",Bengkulu,Individual
518,Hj. Latika Aryani,Pekanbaru,Business
519,Tgk. Bakianto Wacana,Jambi,Business
520,"Bakiono Nashiruddin, S.E.I",Bekasi,Business
521,Janet Prayoga,Batam,Individual
522,Elon Winarno,Yogyakarta,Individual
523,Ivan Santoso,Bogor,Individual
524,Ilsa Padmasari,Malang,Individual
525,"Queen Anggriawan, S.T.",Solo,Business
526,"Gatra Prakasa, S.Gz",Bogor,Business
527,"Banara Hastuti, S.Pd",Tangerang,Individual
528,Halim Mardhiyah,Sidoarjo,Individual
529,"Vera Saragih, S.IP",Semarang,Individual
530,"Vero Sihombing, S.I.Kom",Pekanbaru,Individual
531,R.A. Gawati Mansur,Sidoarjo,Individual
532,Eva Hasanah,Semarang,Individual
533,"Rachel Wahyudin, S.Farm",Bogor,Individual
534,"Pia Halimah, M.Pd",Padang,Individual
535,"Ir. Rudi Pratama, S.H.",Solo,Business
536,"Perkasa Riyanti, S.Pt",Bandung,Individual
537,drg. Karsana Tarihoran,Lampung,Individual
538,Vero Pratiwi,Sidoarjo,Individual
539,Aswani Pudjiastuti,Bogor,Individual
540,Sutan Kemal Nasyiah,Sidoarjo,Business
541,Catur Simbolon,Jambi,Individual
542,"Drs. Maimunah Latupono, S.Kom",Batam,Business
543,"Restu Lestari, S.Pt",Bengkulu,Individual
544,drg. Rusman Hakim,Bekasi,Business
545,Diah Mulyani,Tangerang,Individual
546,Mutia Pratiwi,Bengkulu,Business
547,Kurnia Hariyah,Bengkulu,Business
548,"Respati Samosir, S.Ked",Pekanbaru,Business
549,Hamima Adriansyah,Bekasi,Individual
550,"Gasti Prastuti, S.Pt",Medan,Individual
551,Indra Situmorang,Medan,Individual
552,"Bella Namaga, S.Gz",Padang,Individual
553,Warji Halimah,Bengkulu,Business
554,Edison Wasita,Sidoarjo,Individual
555,Pranawa Mansur,Batam,Individual
556,"Ir. Omar Yuliarti, S.Farm",Palembang,Business
557,Kezia Hassanah,Medan,Business
558,"drg. Keisha Hutapea, M.Pd",Jakarta,Individual
559,Martani Tampubolon,Batam,Individual
560,Cemani Nasyiah,Bekasi,Individual
561,Paris Mahendra,Yogyakarta,Individual
562,"Genta Adriansyah, S.Ked",Depok,Individual
563,Malika Wulandari,Bogor,Individual
564,"Puji Anggraini, M.Pd",Yogyakarta,Business
565,Yuni Pradana,Semarang,Individual
566,Jagaraga Situmorang,Depok,Individual
567,Enteng Nainggolan,Depok,Business
568,"Vanesa Kusumo, S.Gz",Pekanbaru,Individual
569,"Ir. Hari Susanti, S.Ked",Bandung,Individual
570,Danang Hidayat,Padang,Individual
571,Legawa Firmansyah,Semarang,Individual
572,Rahayu Wulandari,Palembang,Business
573,"Alika Prasasta, S.Gz",Pekanbaru,Business
574,Maida Pradipta,Bengkulu,Individual
575,Sutan Perkasa Hakim,Medan,Business
576,Jefri Siregar,Malang,Business
577,Rahman Permata,Yogyakarta,Individual
578,Ratih Rahimah,Lampung,Individual
579,"Ir. Reza Sinaga, S.H.",Jambi,Business
580,Dinda Wijayanti,Surabaya,Individual
